initial_set,seed,size,expected_size,cluster_type,id_col,r2
sample_state_combined_county_id_10ppc_300_size_seed_1234.pkl,1234,280,300,county,id,0.41418058459779084
sample_state_combined_county_id_10ppc_300_size_seed_1415.pkl,1415,280,300,county,id,0.3348774608530798
sample_state_combined_county_id_10ppc_300_size_seed_42.pkl,42,276,300,county,id,0.2839372715788837
sample_state_combined_county_id_10ppc_300_size_seed_456.pkl,456,281,300,county,id,0.3472080267944778
sample_state_combined_county_id_10ppc_300_size_seed_5678.pkl,5678,274,300,county,id,0.28819454512962017
sample_state_combined_county_id_10ppc_300_size_seed_789.pkl,789,280,300,county,id,0.4476029772743335
sample_state_combined_county_id_10ppc_300_size_seed_9101.pkl,9101,280,300,county,id,0.37308649246446235
sample_state_combined_county_id_10ppc_400_size_seed_1.pkl,1,371,400,county,id,0.3619148311057102
sample_state_combined_county_id_10ppc_400_size_seed_1213.pkl,1213,370,400,county,id,0.4959784852463094
sample_state_combined_county_id_10ppc_400_size_seed_123.pkl,123,366,400,county,id,0.4215661337832558
sample_state_combined_county_id_10ppc_400_size_seed_1234.pkl,1234,389,400,county,id,0.39820194814748233
sample_state_combined_county_id_10ppc_400_size_seed_1415.pkl,1415,370,400,county,id,0.3239947594322028
sample_state_combined_county_id_10ppc_400_size_seed_42.pkl,42,380,400,county,id,0.34710859539286565
sample_state_combined_county_id_10ppc_400_size_seed_456.pkl,456,385,400,county,id,0.2440336113050091
sample_state_combined_county_id_10ppc_400_size_seed_5678.pkl,5678,373,400,county,id,0.34922693858382403
sample_state_combined_county_id_10ppc_400_size_seed_789.pkl,789,370,400,county,id,0.43624124461748714
sample_state_combined_county_id_10ppc_400_size_seed_9101.pkl,9101,369,400,county,id,0.32964678386557755
sample_state_combined_county_id_10ppc_500_size_seed_1.pkl,1,490,500,county,id,0.460448647228758
sample_state_combined_county_id_10ppc_500_size_seed_1213.pkl,1213,478,500,county,id,0.48044687098704386
sample_state_combined_county_id_10ppc_500_size_seed_123.pkl,123,487,500,county,id,0.4814740588556955
sample_state_combined_county_id_10ppc_500_size_seed_1234.pkl,1234,485,500,county,id,0.4365946192355389
sample_state_combined_county_id_10ppc_500_size_seed_1415.pkl,1415,480,500,county,id,0.4426812363560847
sample_state_combined_county_id_10ppc_500_size_seed_42.pkl,42,490,500,county,id,0.37265407557914776
sample_state_combined_county_id_10ppc_500_size_seed_456.pkl,456,481,500,county,id,0.31998859335425633
sample_state_combined_county_id_10ppc_500_size_seed_5678.pkl,5678,483,500,county,id,0.33588302683284277
sample_state_combined_county_id_10ppc_500_size_seed_789.pkl,789,479,500,county,id,0.4634231211389205
sample_state_combined_county_id_10ppc_500_size_seed_9101.pkl,9101,488,500,county,id,0.43410917790386794
sample_state_combined_county_id_10ppc_600_size_seed_1.pkl,1,570,600,county,id,0.4651832833486478
sample_state_combined_county_id_10ppc_600_size_seed_1213.pkl,1213,574,600,county,id,0.4846091510901577
sample_state_combined_county_id_10ppc_600_size_seed_123.pkl,123,567,600,county,id,0.4838626589160273
sample_state_combined_county_id_10ppc_600_size_seed_1234.pkl,1234,580,600,county,id,0.42032247138322376
sample_state_combined_county_id_10ppc_600_size_seed_1415.pkl,1415,580,600,county,id,0.4654301310290462
sample_state_combined_county_id_10ppc_600_size_seed_42.pkl,42,586,600,county,id,0.4209967531300943
sample_state_combined_county_id_10ppc_600_size_seed_456.pkl,456,570,600,county,id,0.4669441807487573
sample_state_combined_county_id_10ppc_600_size_seed_5678.pkl,5678,573,600,county,id,0.4065164562139205
sample_state_combined_county_id_10ppc_600_size_seed_789.pkl,789,579,600,county,id,0.4931728862901642
sample_state_combined_county_id_10ppc_600_size_seed_9101.pkl,9101,577,600,county,id,0.4155668919460881
sample_state_combined_county_id_10ppc_700_size_seed_1.pkl,1,670,700,county,id,0.48627668493079845
sample_state_combined_county_id_10ppc_700_size_seed_1213.pkl,1213,670,700,county,id,0.4552710506055212
sample_state_combined_county_id_10ppc_700_size_seed_123.pkl,123,662,700,county,id,0.4808992869897324
sample_state_combined_county_id_10ppc_700_size_seed_1234.pkl,1234,676,700,county,id,0.4296910905705724
sample_state_combined_county_id_10ppc_700_size_seed_1415.pkl,1415,668,700,county,id,0.4730059660634446
sample_state_combined_county_id_10ppc_700_size_seed_42.pkl,42,675,700,county,id,0.4502080989935381
sample_state_combined_county_id_10ppc_700_size_seed_456.pkl,456,674,700,county,id,0.46379527804013576
sample_state_combined_county_id_10ppc_700_size_seed_5678.pkl,5678,669,700,county,id,0.4363750905408317
sample_state_combined_county_id_10ppc_700_size_seed_789.pkl,789,667,700,county,id,0.4943274745885542
sample_state_combined_county_id_10ppc_700_size_seed_9101.pkl,9101,667,700,county,id,0.4343691467780567
sample_state_combined_county_id_10ppc_800_size_seed_1.pkl,1,779,800,county,id,0.46460555629482136
sample_state_combined_county_id_10ppc_800_size_seed_1213.pkl,1213,780,800,county,id,0.4586369486314047
sample_state_combined_county_id_10ppc_800_size_seed_123.pkl,123,781,800,county,id,0.5082644064993365
sample_state_combined_county_id_10ppc_800_size_seed_1234.pkl,1234,776,800,county,id,0.45806264293770027
sample_state_combined_county_id_10ppc_800_size_seed_1415.pkl,1415,783,800,county,id,0.5139244199573325
sample_state_combined_county_id_10ppc_800_size_seed_42.pkl,42,781,800,county,id,0.4338008239558112
sample_state_combined_county_id_10ppc_800_size_seed_456.pkl,456,774,800,county,id,0.46041616078784076
sample_state_combined_county_id_10ppc_800_size_seed_5678.pkl,5678,784,800,county,id,0.4547214445335688
sample_state_combined_county_id_10ppc_800_size_seed_789.pkl,789,787,800,county,id,0.49951467060211074
sample_state_combined_county_id_10ppc_800_size_seed_9101.pkl,9101,783,800,county,id,0.4396694343209916
sample_state_combined_county_id_10ppc_900_size_seed_1.pkl,1,869,900,county,id,0.4734120935787698
sample_state_combined_county_id_10ppc_900_size_seed_1213.pkl,1213,879,900,county,id,0.4723511717810136
sample_state_combined_county_id_10ppc_900_size_seed_123.pkl,123,867,900,county,id,0.5163352044529874
sample_state_combined_county_id_10ppc_900_size_seed_1234.pkl,1234,883,900,county,id,0.453458759088042
sample_state_combined_county_id_10ppc_900_size_seed_1415.pkl,1415,872,900,county,id,0.5104847652940984
sample_state_combined_county_id_10ppc_900_size_seed_42.pkl,42,871,900,county,id,0.49701420548475883
sample_state_combined_county_id_10ppc_900_size_seed_456.pkl,456,882,900,county,id,0.47475133664335956
sample_state_combined_county_id_10ppc_900_size_seed_5678.pkl,5678,873,900,county,id,0.4898719551361532
sample_state_combined_county_id_10ppc_900_size_seed_789.pkl,789,874,900,county,id,0.49334981888104035
sample_state_combined_county_id_10ppc_900_size_seed_9101.pkl,9101,873,900,county,id,0.4718949765206083
sample_state_combined_county_id_5ppc_1000_size_seed_1.pkl,1,913,1000,county,id,0.48481592482566926
sample_state_combined_county_id_5ppc_1000_size_seed_1213.pkl,1213,911,1000,county,id,0.5007483215907623
sample_state_combined_county_id_5ppc_1000_size_seed_123.pkl,123,911,1000,county,id,0.5045785224631898
sample_state_combined_county_id_5ppc_1000_size_seed_1234.pkl,1234,915,1000,county,id,0.4938222539869337
sample_state_combined_county_id_5ppc_1000_size_seed_1415.pkl,1415,912,1000,county,id,0.49503766610262634
sample_state_combined_county_id_5ppc_1000_size_seed_42.pkl,42,915,1000,county,id,0.4806587691989891
sample_state_combined_county_id_5ppc_1000_size_seed_456.pkl,456,915,1000,county,id,0.46278676884985137
sample_state_combined_county_id_5ppc_1000_size_seed_5678.pkl,5678,911,1000,county,id,0.5073544773611024
sample_state_combined_county_id_5ppc_1000_size_seed_789.pkl,789,914,1000,county,id,0.48522845394379543
sample_state_combined_county_id_5ppc_1000_size_seed_9101.pkl,9101,913,1000,county,id,0.4720310918250372
sample_state_combined_county_id_5ppc_200_size_seed_1.pkl,1,185,200,county,id,0.3239470457647612
sample_state_combined_county_id_5ppc_200_size_seed_1213.pkl,1213,185,200,county,id,0.37388154167396115
sample_state_combined_county_id_5ppc_200_size_seed_123.pkl,123,185,200,county,id,0.35366846935410945
sample_state_combined_county_id_5ppc_200_size_seed_1234.pkl,1234,185,200,county,id,0.3749559523669693
sample_state_combined_county_id_5ppc_200_size_seed_1415.pkl,1415,185,200,county,id,0.2659269770764737
sample_state_combined_county_id_5ppc_200_size_seed_42.pkl,42,185,200,county,id,0.37150475639192504
sample_state_combined_county_id_5ppc_200_size_seed_456.pkl,456,185,200,county,id,0.05651801877684404
sample_state_combined_county_id_5ppc_200_size_seed_5678.pkl,5678,185,200,county,id,0.34424563296618016
sample_state_combined_county_id_5ppc_200_size_seed_789.pkl,789,185,200,county,id,0.4086108768518377
sample_state_combined_county_id_5ppc_200_size_seed_9101.pkl,9101,185,200,county,id,0.2471778359045782
sample_state_combined_county_id_5ppc_300_size_seed_1.pkl,1,290,300,county,id,0.4253377370753709
sample_state_combined_county_id_5ppc_300_size_seed_1213.pkl,1213,290,300,county,id,0.43078052927430655
sample_state_combined_county_id_5ppc_300_size_seed_123.pkl,123,290,300,county,id,0.4135994761396392
sample_state_combined_county_id_5ppc_300_size_seed_1234.pkl,1234,290,300,county,id,0.38944419461752533
sample_state_combined_county_id_5ppc_300_size_seed_1415.pkl,1415,290,300,county,id,0.3862774656482175
sample_state_combined_county_id_5ppc_300_size_seed_42.pkl,42,290,300,county,id,0.33866787488069927
sample_state_combined_county_id_5ppc_300_size_seed_456.pkl,456,290,300,county,id,0.4420731353003231
sample_state_combined_county_id_5ppc_300_size_seed_5678.pkl,5678,290,300,county,id,0.3648577567794046
sample_state_combined_county_id_5ppc_300_size_seed_789.pkl,789,290,300,county,id,0.4581935447542329
sample_state_combined_county_id_5ppc_300_size_seed_9101.pkl,9101,290,300,county,id,0.34887235528153704
sample_state_combined_county_id_5ppc_400_size_seed_1.pkl,1,390,400,county,id,0.42848047284590995
sample_state_combined_county_id_5ppc_400_size_seed_1213.pkl,1213,390,400,county,id,0.4243049977705421
sample_state_combined_county_id_5ppc_400_size_seed_123.pkl,123,390,400,county,id,0.45496382390538936
sample_state_combined_county_id_5ppc_400_size_seed_1234.pkl,1234,390,400,county,id,0.4037209236763546
sample_state_combined_county_id_5ppc_400_size_seed_1415.pkl,1415,390,400,county,id,0.42354772308608646
sample_state_combined_county_id_5ppc_400_size_seed_42.pkl,42,390,400,county,id,0.40238025841974856
sample_state_combined_county_id_5ppc_400_size_seed_456.pkl,456,389,400,county,id,0.4638454621597474
sample_state_combined_county_id_5ppc_400_size_seed_5678.pkl,5678,390,400,county,id,0.4277550033341385
sample_state_combined_county_id_5ppc_400_size_seed_789.pkl,789,390,400,county,id,0.47759280781916746
sample_state_combined_county_id_5ppc_400_size_seed_9101.pkl,9101,390,400,county,id,0.3033486317420645
sample_state_combined_county_id_5ppc_500_size_seed_1.pkl,1,490,500,county,id,0.46923901539730095
sample_state_combined_county_id_5ppc_500_size_seed_1213.pkl,1213,490,500,county,id,0.4502963802864737
sample_state_combined_county_id_5ppc_500_size_seed_123.pkl,123,490,500,county,id,0.4305126732383654
sample_state_combined_county_id_5ppc_500_size_seed_1234.pkl,1234,490,500,county,id,0.39286353389736717
sample_state_combined_county_id_5ppc_500_size_seed_1415.pkl,1415,490,500,county,id,0.4279865009359276
sample_state_combined_county_id_5ppc_500_size_seed_42.pkl,42,490,500,county,id,0.42336310254770126
sample_state_combined_county_id_5ppc_500_size_seed_456.pkl,456,494,500,county,id,0.4743042968359412
sample_state_combined_county_id_5ppc_500_size_seed_5678.pkl,5678,490,500,county,id,0.4342966474660176
sample_state_combined_county_id_5ppc_500_size_seed_789.pkl,789,490,500,county,id,0.45449638096749845
sample_state_combined_county_id_5ppc_500_size_seed_9101.pkl,9101,490,500,county,id,0.39971047930308545
sample_state_combined_county_id_5ppc_600_size_seed_1.pkl,1,590,600,county,id,0.49660845187979086
sample_state_combined_county_id_5ppc_600_size_seed_1213.pkl,1213,590,600,county,id,0.44138130838582046
sample_state_combined_county_id_5ppc_600_size_seed_123.pkl,123,590,600,county,id,0.43279148029462666
sample_state_combined_county_id_5ppc_600_size_seed_1234.pkl,1234,590,600,county,id,0.44391445449671674
sample_state_combined_county_id_5ppc_600_size_seed_1415.pkl,1415,585,600,county,id,0.4478112831732789
sample_state_combined_county_id_5ppc_600_size_seed_42.pkl,42,590,600,county,id,0.44183823542053857
sample_state_combined_county_id_5ppc_600_size_seed_456.pkl,456,589,600,county,id,0.4843628089481027
sample_state_combined_county_id_5ppc_600_size_seed_5678.pkl,5678,590,600,county,id,0.44749343911993755
sample_state_combined_county_id_5ppc_600_size_seed_789.pkl,789,590,600,county,id,0.4630574217197553
sample_state_combined_county_id_5ppc_600_size_seed_9101.pkl,9101,590,600,county,id,0.2727397891557115
sample_state_combined_county_id_5ppc_700_size_seed_1.pkl,1,685,700,county,id,0.49779244347905505
sample_state_combined_county_id_5ppc_700_size_seed_1213.pkl,1213,686,700,county,id,0.4576459825663306
sample_state_combined_county_id_5ppc_700_size_seed_123.pkl,123,686,700,county,id,0.45421990287296277
sample_state_combined_county_id_5ppc_700_size_seed_1234.pkl,1234,686,700,county,id,0.4367559661708841
sample_state_combined_county_id_5ppc_700_size_seed_1415.pkl,1415,686,700,county,id,0.4740859694861831
sample_state_combined_county_id_5ppc_700_size_seed_42.pkl,42,686,700,county,id,0.4823885570456983
sample_state_combined_county_id_5ppc_700_size_seed_456.pkl,456,685,700,county,id,0.4695941416348488
sample_state_combined_county_id_5ppc_700_size_seed_5678.pkl,5678,686,700,county,id,0.49505225731467084
sample_state_combined_county_id_5ppc_700_size_seed_789.pkl,789,686,700,county,id,0.4693831694286009
sample_state_combined_county_id_5ppc_700_size_seed_9101.pkl,9101,690,700,county,id,0.4416705163832114
sample_state_combined_county_id_5ppc_800_size_seed_1.pkl,1,760,800,county,id,0.49376993445169026
sample_state_combined_county_id_5ppc_800_size_seed_1213.pkl,1213,759,800,county,id,0.4700944647314197
sample_state_combined_county_id_5ppc_800_size_seed_123.pkl,123,761,800,county,id,0.5004145843721126
sample_state_combined_county_id_5ppc_800_size_seed_1234.pkl,1234,761,800,county,id,0.4620826031884828
sample_state_combined_county_id_5ppc_800_size_seed_1415.pkl,1415,762,800,county,id,0.44953261957640644
sample_state_combined_county_id_5ppc_800_size_seed_42.pkl,42,761,800,county,id,0.4814692044560869
sample_state_combined_county_id_5ppc_800_size_seed_456.pkl,456,760,800,county,id,0.4272487546839002
sample_state_combined_county_id_5ppc_800_size_seed_5678.pkl,5678,761,800,county,id,0.4978635758971677
sample_state_combined_county_id_5ppc_800_size_seed_789.pkl,789,761,800,county,id,0.4741587593389064
sample_state_combined_county_id_5ppc_800_size_seed_9101.pkl,9101,763,800,county,id,0.44559007163437725
sample_state_combined_county_id_5ppc_900_size_seed_1.pkl,1,833,900,county,id,0.4837482542782807
sample_state_combined_county_id_5ppc_900_size_seed_1213.pkl,1213,836,900,county,id,0.49790618587572
sample_state_combined_county_id_5ppc_900_size_seed_123.pkl,123,836,900,county,id,0.5140415702047815
sample_state_combined_county_id_5ppc_900_size_seed_1234.pkl,1234,835,900,county,id,0.47894674576233753
sample_state_combined_county_id_5ppc_900_size_seed_1415.pkl,1415,837,900,county,id,0.47921071947375793
sample_state_combined_county_id_5ppc_900_size_seed_42.pkl,42,835,900,county,id,0.4789601745462715
sample_state_combined_county_id_5ppc_900_size_seed_456.pkl,456,835,900,county,id,0.43991571352254333
sample_state_combined_county_id_5ppc_900_size_seed_5678.pkl,5678,836,900,county,id,0.49395663586471694
sample_state_combined_county_id_5ppc_900_size_seed_789.pkl,789,835,900,county,id,0.48902731026111934
sample_state_combined_county_id_5ppc_900_size_seed_9101.pkl,9101,833,900,county,id,0.37156841804605856
sample_state_combined_county_id_10ppc_1000_size_seed_1.pkl,1,988,1000,county,id,0.48414736071870523
sample_state_combined_county_id_10ppc_1000_size_seed_1213.pkl,1213,988,1000,county,id,0.46321011500341647
sample_state_combined_county_id_10ppc_1000_size_seed_123.pkl,123,976,1000,county,id,0.5219234993212043
sample_state_combined_county_id_10ppc_1000_size_seed_1234.pkl,1234,981,1000,county,id,0.49204440661182747
sample_state_combined_county_id_10ppc_1000_size_seed_1415.pkl,1415,978,1000,county,id,0.5150831913548034
sample_state_combined_county_id_10ppc_1000_size_seed_42.pkl,42,978,1000,county,id,0.508396140409383
sample_state_combined_county_id_10ppc_1000_size_seed_456.pkl,456,982,1000,county,id,0.4823493079385801
sample_state_combined_county_id_10ppc_1000_size_seed_5678.pkl,5678,980,1000,county,id,0.5050720663923214
sample_state_combined_county_id_10ppc_1000_size_seed_789.pkl,789,992,1000,county,id,0.5101824552534455
sample_state_combined_county_id_10ppc_1000_size_seed_9101.pkl,9101,991,1000,county,id,0.48242894522306123
sample_state_combined_county_id_10ppc_200_size_seed_1.pkl,1,177,200,county,id,0.39674180625640465
sample_state_combined_county_id_10ppc_200_size_seed_1213.pkl,1213,170,200,county,id,0.41841924988486034
sample_state_combined_county_id_10ppc_200_size_seed_123.pkl,123,170,200,county,id,0.42103045878227874
sample_state_combined_county_id_10ppc_200_size_seed_1234.pkl,1234,170,200,county,id,0.3034703821283393
sample_state_combined_county_id_10ppc_200_size_seed_1415.pkl,1415,170,200,county,id,0.0902337683949439
sample_state_combined_county_id_10ppc_200_size_seed_42.pkl,42,168,200,county,id,0.10879058271927966
sample_state_combined_county_id_10ppc_200_size_seed_456.pkl,456,170,200,county,id,0.32523654900392873
sample_state_combined_county_id_10ppc_200_size_seed_5678.pkl,5678,175,200,county,id,0.31390290098777995
sample_state_combined_county_id_10ppc_200_size_seed_789.pkl,789,170,200,county,id,0.4099421796255597
sample_state_combined_county_id_10ppc_200_size_seed_9101.pkl,9101,170,200,county,id,0.2985083116163555
sample_state_combined_county_id_10ppc_300_size_seed_1.pkl,1,282,300,county,id,0.3993481391866883
sample_state_combined_county_id_10ppc_300_size_seed_1213.pkl,1213,280,300,county,id,0.4936058316525085
sample_state_combined_county_id_10ppc_300_size_seed_123.pkl,123,280,300,county,id,0.42922676598909837
sample_state_combined_county_id_10ppc_300_size_seed_1234.pkl,1234,280,300,county,id,0.41418058459779084
sample_state_combined_county_id_10ppc_300_size_seed_1415.pkl,1415,280,300,county,id,0.3348774608530798
sample_state_combined_county_id_10ppc_300_size_seed_42.pkl,42,276,300,county,id,0.2839372715788837
sample_state_combined_county_id_10ppc_300_size_seed_456.pkl,456,281,300,county,id,0.3472080267944778
sample_state_combined_county_id_10ppc_300_size_seed_5678.pkl,5678,274,300,county,id,0.28819454512962017
sample_state_combined_county_id_10ppc_300_size_seed_789.pkl,789,280,300,county,id,0.4476029772743335
sample_state_combined_county_id_10ppc_300_size_seed_9101.pkl,9101,280,300,county,id,0.37308649246446235
sample_state_combined_county_id_10ppc_400_size_seed_1.pkl,1,371,400,county,id,0.3619148311057102
sample_state_combined_county_id_10ppc_400_size_seed_1213.pkl,1213,370,400,county,id,0.4959784852463094
sample_state_combined_county_id_10ppc_400_size_seed_123.pkl,123,366,400,county,id,0.4215661337832558
sample_state_combined_county_id_10ppc_400_size_seed_1234.pkl,1234,389,400,county,id,0.39820194814748233
sample_state_combined_county_id_10ppc_400_size_seed_1415.pkl,1415,370,400,county,id,0.3239947594322028
sample_state_combined_county_id_10ppc_400_size_seed_42.pkl,42,380,400,county,id,0.34710859539286565
sample_state_combined_county_id_10ppc_400_size_seed_456.pkl,456,385,400,county,id,0.2440336113050091
sample_state_combined_county_id_10ppc_400_size_seed_5678.pkl,5678,373,400,county,id,0.34922693858382403
sample_state_combined_county_id_10ppc_400_size_seed_789.pkl,789,370,400,county,id,0.43624124461748714
sample_state_combined_county_id_10ppc_400_size_seed_9101.pkl,9101,369,400,county,id,0.32964678386557755
sample_state_combined_county_id_10ppc_500_size_seed_1.pkl,1,490,500,county,id,0.460448647228758
sample_state_combined_county_id_10ppc_500_size_seed_1213.pkl,1213,478,500,county,id,0.48044687098704386
sample_state_combined_county_id_10ppc_500_size_seed_123.pkl,123,487,500,county,id,0.4814740588556955
sample_state_combined_county_id_10ppc_500_size_seed_1234.pkl,1234,485,500,county,id,0.4365946192355389
sample_state_combined_county_id_10ppc_500_size_seed_1415.pkl,1415,480,500,county,id,0.4426812363560847
sample_state_combined_county_id_10ppc_500_size_seed_42.pkl,42,490,500,county,id,0.37265407557914776
sample_state_combined_county_id_10ppc_500_size_seed_456.pkl,456,481,500,county,id,0.31998859335425633
sample_state_combined_county_id_10ppc_500_size_seed_5678.pkl,5678,483,500,county,id,0.33588302683284277
sample_state_combined_county_id_10ppc_500_size_seed_789.pkl,789,479,500,county,id,0.4634231211389205
sample_state_combined_county_id_10ppc_500_size_seed_9101.pkl,9101,488,500,county,id,0.43410917790386794
sample_state_combined_county_id_10ppc_600_size_seed_1.pkl,1,570,600,county,id,0.4651832833486478
sample_state_combined_county_id_10ppc_600_size_seed_1213.pkl,1213,574,600,county,id,0.4846091510901577
sample_state_combined_county_id_10ppc_600_size_seed_123.pkl,123,567,600,county,id,0.4838626589160273
sample_state_combined_county_id_10ppc_600_size_seed_1234.pkl,1234,580,600,county,id,0.42032247138322376
sample_state_combined_county_id_10ppc_600_size_seed_1415.pkl,1415,580,600,county,id,0.4654301310290462
sample_state_combined_county_id_10ppc_600_size_seed_42.pkl,42,586,600,county,id,0.4209967531300943
sample_state_combined_county_id_10ppc_600_size_seed_456.pkl,456,570,600,county,id,0.4669441807487573
sample_state_combined_county_id_10ppc_600_size_seed_5678.pkl,5678,573,600,county,id,0.4065164562139205
sample_state_combined_county_id_10ppc_600_size_seed_789.pkl,789,579,600,county,id,0.4931728862901642
sample_state_combined_county_id_10ppc_600_size_seed_9101.pkl,9101,577,600,county,id,0.4155668919460881
sample_state_combined_county_id_10ppc_700_size_seed_1.pkl,1,670,700,county,id,0.48627668493079845
sample_state_combined_county_id_10ppc_700_size_seed_1213.pkl,1213,670,700,county,id,0.4552710506055212
sample_state_combined_county_id_10ppc_700_size_seed_123.pkl,123,662,700,county,id,0.4808992869897324
sample_state_combined_county_id_10ppc_700_size_seed_1234.pkl,1234,676,700,county,id,0.4296910905705724
sample_state_combined_county_id_10ppc_700_size_seed_1415.pkl,1415,668,700,county,id,0.4730059660634446
sample_state_combined_county_id_10ppc_700_size_seed_42.pkl,42,675,700,county,id,0.4502080989935381
sample_state_combined_county_id_10ppc_700_size_seed_456.pkl,456,674,700,county,id,0.46379527804013576
sample_state_combined_county_id_10ppc_700_size_seed_5678.pkl,5678,669,700,county,id,0.4363750905408317
sample_state_combined_county_id_10ppc_700_size_seed_789.pkl,789,667,700,county,id,0.4943274745885542
sample_state_combined_county_id_10ppc_700_size_seed_9101.pkl,9101,667,700,county,id,0.4343691467780567
sample_state_combined_county_id_10ppc_800_size_seed_1.pkl,1,779,800,county,id,0.46460555629482136
sample_state_combined_county_id_10ppc_800_size_seed_1213.pkl,1213,780,800,county,id,0.4586369486314047
sample_state_combined_county_id_10ppc_800_size_seed_123.pkl,123,781,800,county,id,0.5082644064993365
sample_state_combined_county_id_10ppc_800_size_seed_1234.pkl,1234,776,800,county,id,0.45806264293770027
sample_state_combined_county_id_10ppc_800_size_seed_1415.pkl,1415,783,800,county,id,0.5139244199573325
sample_state_combined_county_id_10ppc_800_size_seed_42.pkl,42,781,800,county,id,0.4338008239558112
sample_state_combined_county_id_10ppc_800_size_seed_456.pkl,456,774,800,county,id,0.46041616078784076
sample_state_combined_county_id_10ppc_800_size_seed_5678.pkl,5678,784,800,county,id,0.4547214445335688
sample_state_combined_county_id_10ppc_800_size_seed_789.pkl,789,787,800,county,id,0.49951467060211074
sample_state_combined_county_id_10ppc_800_size_seed_9101.pkl,9101,783,800,county,id,0.4396694343209916
sample_state_combined_county_id_10ppc_900_size_seed_1.pkl,1,869,900,county,id,0.4734120935787698
sample_state_combined_county_id_10ppc_900_size_seed_1213.pkl,1213,879,900,county,id,0.4723511717810136
sample_state_combined_county_id_10ppc_900_size_seed_123.pkl,123,867,900,county,id,0.5163352044529874
sample_state_combined_county_id_10ppc_900_size_seed_1234.pkl,1234,883,900,county,id,0.453458759088042
sample_state_combined_county_id_10ppc_900_size_seed_1415.pkl,1415,872,900,county,id,0.5104847652940984
sample_state_combined_county_id_10ppc_900_size_seed_42.pkl,42,871,900,county,id,0.49701420548475883
sample_state_combined_county_id_10ppc_900_size_seed_456.pkl,456,882,900,county,id,0.47475133664335956
sample_state_combined_county_id_10ppc_900_size_seed_5678.pkl,5678,873,900,county,id,0.4898719551361532
sample_state_combined_county_id_10ppc_900_size_seed_789.pkl,789,874,900,county,id,0.49334981888104035
sample_state_combined_county_id_10ppc_900_size_seed_9101.pkl,9101,873,900,county,id,0.4718949765206083
sample_state_combined_county_id_5ppc_1000_size_seed_1.pkl,1,913,1000,county,id,0.48481592482566926
sample_state_combined_county_id_5ppc_1000_size_seed_1213.pkl,1213,911,1000,county,id,0.5007483215907623
sample_state_combined_county_id_5ppc_1000_size_seed_123.pkl,123,911,1000,county,id,0.5045785224631898
sample_state_combined_county_id_5ppc_1000_size_seed_1234.pkl,1234,915,1000,county,id,0.4938222539869337
sample_state_combined_county_id_5ppc_1000_size_seed_1415.pkl,1415,912,1000,county,id,0.49503766610262634
sample_state_combined_county_id_5ppc_1000_size_seed_42.pkl,42,915,1000,county,id,0.4806587691989891
sample_state_combined_county_id_5ppc_1000_size_seed_456.pkl,456,915,1000,county,id,0.46278676884985137
